Subject,Publication/Description,Year Level,Semester,Download Link
Programming with Python,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/14U8VwKjWmrEp6WUZzInnA2_Yb5_RZ1Rg/view?usp=drivesdk
Entrepreneurship Development,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/1l4NNXRTacDcHxWDVd_vKSOUMOovceOZS/view?usp=drivesdk
Entrepreneurship Development And Project Management,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/1l5khGMGraQq_yluFlg-V6QwQ1BcgDf1E/view?usp=drivesdk
Entrepreneurship Development,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/1l90gPtlOpshGJX6ObH8pziqROltnENEh/view?usp=drivesdk
Entrepreneurship Development,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/1lANfG4ei4U55bqY3wGmn7ciyhk-wZJK-/view?usp=drivesdk
Management,Tech Knowledge Publication,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/1lCLZ_ZQDuDx3v9Zq1kYACTow42GMyTgn/view?usp=drivesdk
Web Based Application Development using PHP,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/18Ja-ra38v-JuWVZG5c_-LQ0Zi_J6SvsI/view?usp=drivesdk
Management,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/14ZRhPaA0BfMwPN3g3AjrcZZDjMD1INz0/view?usp=drivesdk
Mobile Application Development,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/14_zuY6-DqRMQt28G6hgIpC4e9vWB4Kg5/view?usp=drivesdk
Web Based Application Development using PHP,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/18PKDArJQmzX53yVtUctXqyUZ1ZHKoaj6/view?usp=drivesdk
Web Based Application Development using PHP,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/18SFIGr_Yg9AE4ePLH3LPZL7DMOhoRIEH/view?usp=drivesdk
Programming with Python,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/14jzxz0heNujYtH74RYNJ_tY9Mzz45eS6/view?usp=drivesdk
EProgramming with Python,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/14o4_tNbqOTpn2bKBHsoQy-9evt-w7S27/view?usp=drivesdk
Programming with Python,N/A,Third Year Diploma,Semester - 6,https://drive.google.com/file/d/14pWRuR_zBAjHJnF6hzb5rSq020ssLL7Q/view?usp=drivesdk
